Season,player_id,player_name,position,is_pitcher,handedness,mls_years,salary_2025,TeamName,TeamNameAbb,PA,AB,G,GS,IP,TBF,WAR,wRC+,OPS,AVG,OBP,SLG,HR,RBI,SB,wOBA,xwOBA,ERA,FIP,WHIP,K/9,BB/9,W,SV,xFIP,SIERA,wRAA,wRC,FIP-,xFIP-,K-BB%,WHIP+,woba,xwoba,launch_speed,launch_angle,hardhit_percent,barrels_per_bbe_percent,velocity,spin_rate,effective_speed,release_extension,pa,abs,pitches,hits,singles,doubles,triples,hrs,batter_run_value_per_100,pitcher_run_value_per_100,run_exp,pitcher_run_exp
2025.0,665742.0,Juan Soto,OF,False,L,6.134,61875000.0,NYM,NYM,688.0,554.0,154.0,,,,5.910343986300072,158.70660192348163,0.933712937,0.267148014,0.399416909,0.534296028,42.0,104.0,35.0,0.3946321642062285,0.44202610404191617,,,,,,,,,,45.24357727693728,126.74283186124973,,,,,0.395,0.443,93.7,11.3,56.10328638497653,18.30985915492958,89.5,2275.0,89.57,6.45,675.0,554.0,2869.0,148.0,85.0,20.0,1.0,42.0,2.103590101,-2.103590101,60.352,-60.352
2025.0,554430.0,Zack Wheeler,P,True,R,11.098,42000000.0,PHI,PHI,,,24.0,24.0,149.2,585.0,4.00728702545166,,,0.19669117647058823,,,19.0,,,,,2.7060135469509574,3.012136627196906,0.9354120903040346,11.726058703454148,1.984409934430702,10.0,0.0,2.7352340010475134,2.730805988238862,,,71.91107733396966,66.73770909021907,0.27692308,72.07059864554198,0.264,0.253,87.3,13.0,34.097421203438394,7.163323782234957,91.5,2431.0,92.85,7.18,585.0,542.0,2394.0,107.0,65.0,21.0,2.0,19.0,-1.024394319,1.024394319,-24.524,24.524
2025.0,594798.0,Jacob deGrom,P,True,R,10.139,40000000.0,TEX,TEX,,,29.0,29.0,167.2,652.0,3.298452615737915,,,0.19575856443719414,,,25.0,,,,,3.0059643970869847,3.6706178522872728,0.9304175514793048,9.500994612221362,1.932405683841633,12.0,0.0,3.4065417474788777,3.3751313067998785,,,86.3664077021154,80.60498604031632,0.21625767,72.31204590817131,0.26,0.292,89.8,16.1,41.570438799076214,9.006928406466514,93.1,2505.0,93.66,6.72,652.0,608.0,2540.0,120.0,75.0,19.0,1.0,25.0,-1.23476378,1.23476378,-31.363,31.363
2025.0,592450.0,Aaron Judge,OF,False,R,8.051,40000000.0,NYY,NYY,652.0,521.0,146.0,,,,9.200006697064284,199.0084160066405,1.122705273,0.326295585,0.450920245,0.671785028,49.0,105.0,12.0,0.45596267475235847,0.47029268352034825,,,,,,,,,,75.37004605625438,152.60480476115512,,,,,0.455,0.466,95.4,19.3,57.72357723577236,24.66124661246613,89.3,2282.0,89.36,6.44,619.0,521.0,2540.0,170.0,90.0,29.0,2.0,49.0,2.757519685,-2.757519685,70.041,-70.041
2025.0,621043.0,Carlos Correa,SS,False,R,9.119,37333333.0,- - -,2 Tms,566.0,523.0,139.0,,,,2.3605320124632128,103.51941970735083,0.726472713,0.273422562,0.326855123,0.39961759,13.0,50.0,0.0,0.31869112655467785,0.34381077583872566,,,,,,,,,,2.2930199868044343,69.34037186866613,,,,,0.319,0.342,90.5,7.4,45.85365853658537,7.073170731707316,90.2,2293.0,90.41,6.48,566.0,523.0,2217.0,143.0,103.0,27.0,0.0,13.0,-0.226612539,0.226612539,-5.024,5.024
2025.0,545361.0,Mike Trout,OF,False,R,13.07,37116667.0,LAA,LAA,539.0,441.0,125.0,,,,1.3295769587618018,113.3841580027889,0.771843309,0.229024943,0.356877323,0.414965986,22.0,59.0,2.0,0.3347088602004629,0.3613979419832248,,,,,,,,,,9.199271390403903,73.04825136270682,,,,,0.335,0.36,90.4,17.2,47.63636363636364,14.545454545454543,90.8,2297.0,90.88,6.45,529.0,441.0,2406.0,101.0,64.0,14.0,1.0,22.0,0.532044888,-0.532044888,12.801,-12.801
2025.0,514888.0,Jose Altuve,2B,False,R,13.072,33000000.0,HOU,HOU,637.0,574.0,150.0,,,,2.0304045144066043,112.66477864741722,0.771294896,0.264808362,0.327044025,0.444250871,26.0,75.0,10.0,0.3310159157648706,0.3043294921875,,,,,,,,,,8.960299713883668,84.41818513569619,,,,,0.331,0.307,84.1,17.0,31.223628691983123,6.329113924050633,89.5,2296.0,89.4,6.43,632.0,574.0,2246.0,152.0,102.0,23.0,1.0,26.0,0.376090828,-0.376090828,8.447,-8.447
2025.0,608369.0,Corey Seager,SS,False,L,9.032,32500000.0,TEX,TEX,445.0,380.0,102.0,,,,3.983200942028088,137.0962338318448,0.859875812,0.271052631,0.373033707,0.486842105,21.0,50.0,3.0,0.3656630616078432,0.41260091847386854,,,,,,,,,,18.78821151186933,71.50211891015282,,,,,0.366,0.413,92.9,11.6,53.559322033898304,15.254237288135592,89.0,2250.0,88.97,6.39,435.0,380.0,1668.0,103.0,63.0,19.0,0.0,21.0,1.279436451,-1.279436451,21.341,-21.341
2025.0,607192.0,Tyler Glasnow,P,True,R,7.158,32500000.0,LAD,LAD,,,17.0,17.0,87.1,353.0,1.5124849081039429,,,0.17207792207792208,,,10.0,,,,,3.297710115721615,3.8213394842408483,1.0877863228942826,10.614504434978947,4.328244526884619,4.0,0.0,3.7379869199910054,3.8858666138199953,,,89.79695192635184,90.3756285991554,0.17280453,83.81056039583842,0.266,0.29,88.3,11.5,38.23529411764706,8.333333333333332,91.3,2621.0,93.43,7.51,353.0,304.0,1444.0,53.0,31.0,12.0,0.0,10.0,-0.653185596,0.653185596,-9.432,9.432
2025.0,519317.0,Giancarlo Stanton,DH/OF,False,R,14.118,32000000.0,NYY,NYY,257.0,228.0,71.0,,,,1.5089431265884619,150.02686802003936,0.918311403,0.267543859,0.34375,0.574561403,21.0,56.0,0.0,0.3847119424182907,0.3608684916741292,,,,,,,,,,14.828857383069245,45.272619633313866,,,,,0.385,0.361,94.6,17.8,55.319148936170215,21.98581560283688,89.5,2280.0,89.52,6.42,254.0,228.0,1119.0,61.0,33.0,7.0,0.0,21.0,1.345218945,-1.345218945,15.053,-15.053
2025.0,624413.0,Pete Alonso,1B,False,R,6.0,30000000.0,NYM,NYM,683.0,599.0,156.0,,,,3.602394554562571,142.18691282708838,0.875803253,0.273789649,0.349926793,0.52587646,37.0,122.0,1.0,0.3704867564295597,0.40137213016867107,,,,,,,,,,31.513919074244328,112.42088256419403,,,,,0.37,0.4,93.4,15.4,53.94736842105263,18.640350877192983,89.5,2305.0,89.63,6.45,678.0,599.0,2701.0,164.0,88.0,38.0,1.0,37.0,1.159792669,-1.159792669,31.326,-31.326
2025.0,665489.0,Vladimir Guerrero Jr.,1B,False,R,5.157,28500000.0,TOR,TOR,656.0,566.0,150.0,,,,4.146381679685824,142.3517939495148,0.869284883,0.298586572,0.388719512,0.480565371,23.0,83.0,6.0,0.37429682432133476,0.40346856117248536,,,,,,,,,,32.29914516290238,110.00773674329331,,,,,0.374,0.404,92.2,8.0,50.82987551867219,12.655601659751037,89.9,2272.0,90.04,6.48,648.0,566.0,2412.0,169.0,112.0,34.0,0.0,23.0,1.669444444,-1.669444444,40.267,-40.267
