gamePk,attendance,attendance_high_for_date,attendance_low_for_date,is_doubleheader_date
778563,42365.0,42365.0,42365.0,False
778564,42367.0,42367.0,42367.0,False
778557,46208.0,46208.0,46208.0,False
778556,40734.0,40734.0,40734.0,False
778545,45568.0,45568.0,45568.0,False
778553,37585.0,37585.0,37585.0,False
778555,41231.0,41231.0,41231.0,False
778558,39393.0,39393.0,39393.0,False
778561,43876.0,43876.0,43876.0,False
778559,42305.0,42305.0,42305.0,False
778554,31403.0,31403.0,31403.0,False
778551,47395.0,47395.0,47395.0,False
778546,53595.0,53595.0,53595.0,False
778552,49070.0,49070.0,49070.0,False
778547,42871.0,42871.0,42871.0,False
778562,31693.0,31693.0,31693.0,False
778549,26289.0,26289.0,26289.0,False
778518,37004.0,37004.0,37004.0,False
778560,10046.0,10046.0,10046.0,False
778548,9838.0,9838.0,9838.0,False
778542,41058.0,41058.0,41058.0,False
778544,52029.0,52029.0,52029.0,False
778543,37449.0,37449.0,37449.0,False
778541,25061.0,25061.0,25061.0,False
778550,26762.0,26762.0,26762.0,False
778535,38446.0,38446.0,38446.0,False
778537,10046.0,10046.0,10046.0,False
778538,46683.0,46683.0,46683.0,False
778528,30712.0,30712.0,30712.0,False
778536,27005.0,27005.0,27005.0,False
778529,22019.0,22019.0,22019.0,False
778534,20602.0,20602.0,20602.0,False
778539,10207.0,10207.0,10207.0,False
778531,32251.0,32251.0,32251.0,False
778530,41742.0,41742.0,41742.0,False
778520,40587.0,40587.0,40587.0,False
778521,35264.0,35264.0,35264.0,False
778532,36407.0,36407.0,36407.0,False
778533,51788.0,51788.0,51788.0,False
778540,40200.0,40200.0,40200.0,False
778510,15414.0,15414.0,15414.0,False
778523,41803.0,41803.0,41803.0,False
778525,21069.0,21069.0,21069.0,False
778522,14089.0,14089.0,14089.0,False
778524,10046.0,10046.0,10046.0,False
778526,28075.0,28075.0,28075.0,False
778527,19591.0,19591.0,19591.0,False
778516,29137.0,29137.0,29137.0,False
778515,39145.0,39145.0,39145.0,False
778513,27696.0,27696.0,27696.0,False
778514,41269.0,41269.0,41269.0,False
778517,26923.0,26923.0,26923.0,False
778519,15490.0,15490.0,15490.0,False
778506,10423.0,10423.0,10423.0,False
778504,41922.0,41922.0,41922.0,False
778512,45002.0,45002.0,45002.0,False
778502,44595.0,44595.0,44595.0,False
778511,10533.0,10533.0,10533.0,False
778509,12953.0,12953.0,12953.0,False
778507,20137.0,20137.0,20137.0,False
778503,21206.0,21206.0,21206.0,False
778505,28324.0,28324.0,28324.0,False
778499,43404.0,43404.0,43404.0,False
778496,15306.0,15306.0,15306.0,False
778500,50816.0,50816.0,50816.0,False
778501,12119.0,12119.0,12119.0,False
778508,10046.0,10046.0,10046.0,False
778492,37482.0,37482.0,37482.0,False
778488,18008.0,18008.0,18008.0,False
778497,13740.0,13740.0,13740.0,False
778493,10046.0,10046.0,10046.0,False
778490,12089.0,12089.0,12089.0,False
778491,21845.0,21845.0,21845.0,False
778495,21306.0,21306.0,21306.0,False
778487,50182.0,50182.0,50182.0,False
778489,30314.0,30314.0,30314.0,False
778485,37120.0,37120.0,37120.0,False
778486,17333.0,17333.0,17333.0,False
778494,10095.0,10095.0,10095.0,False
778498,14852.0,14852.0,14852.0,False
778476,35858.0,35858.0,35858.0,False
778479,10046.0,10046.0,10046.0,False
778477,19112.0,19112.0,19112.0,False
778480,13322.0,13322.0,13322.0,False
778478,20104.0,20104.0,20104.0,False
778471,9342.0,9342.0,9342.0,False
778474,10193.0,10193.0,10193.0,False
778469,15560.0,15560.0,15560.0,False
778482,37550.0,37550.0,37550.0,False
778481,10598.0,10598.0,10598.0,False
778472,50281.0,50281.0,50281.0,False
778484,40558.0,40558.0,40558.0,False
778475,24114.0,24114.0,24114.0,False
778483,18146.0,18146.0,18146.0,False
778473,20309.0,20309.0,20309.0,False
778470,16656.0,16656.0,16656.0,False
778467,34097.0,34097.0,34097.0,False
778462,36783.0,36783.0,36783.0,False
778468,20113.0,20113.0,20113.0,False
778466,43382.0,43382.0,43382.0,False
778457,18974.0,18974.0,18974.0,False
778458,44735.0,44735.0,44735.0,False
778463,36462.0,36462.0,36462.0,False
778461,36893.0,36893.0,36893.0,False
778465,43945.0,43945.0,43945.0,False
778444,40865.0,40865.0,40865.0,False
778460,40244.0,40244.0,40244.0,False
778459,43024.0,43024.0,43024.0,False
778464,41583.0,41583.0,41583.0,False
778455,14196.0,14196.0,14196.0,False
778454,24483.0,24483.0,24483.0,False
778453,23004.0,23004.0,23004.0,False
778447,44749.0,44749.0,44749.0,False
778456,48015.0,48015.0,48015.0,False
778445,26098.0,26098.0,26098.0,False
778440,16082.0,16082.0,16082.0,False
778450,35391.0,35391.0,35391.0,False
778452,25916.0,25916.0,25916.0,False
778448,44404.0,44404.0,44404.0,False
778449,30570.0,30570.0,30570.0,False
778438,29058.0,29058.0,29058.0,False
778436,40886.0,40886.0,40886.0,False
778446,37694.0,37694.0,37694.0,False
778451,39732.0,39732.0,39732.0,False
778442,27599.0,27599.0,27599.0,False
778437,41128.0,41128.0,41128.0,False
778439,32772.0,32772.0,32772.0,False
778441,14383.0,14383.0,14383.0,False
778422,19098.0,19098.0,19098.0,False
778429,14528.0,14528.0,14528.0,False
778443,31495.0,31495.0,28276.0,True
778432,28276.0,31495.0,28276.0,True
778434,44098.0,44098.0,44098.0,False
778428,22898.0,22898.0,22898.0,False
778435,40132.0,40132.0,40132.0,False
778427,41060.0,41060.0,41060.0,False
778419,14638.0,14638.0,14638.0,False
778421,25778.0,25778.0,25778.0,False
778430,33941.0,33941.0,33941.0,False
778420,25614.0,25614.0,25614.0,False
778423,26207.0,26207.0,26207.0,False
778425,41480.0,41480.0,41480.0,False
778433,20981.0,20981.0,20981.0,False
778418,22546.0,22546.0,22546.0,False
778424,14132.0,14132.0,14132.0,False
778415,8250.0,8250.0,8250.0,False
778426,25788.0,25788.0,25788.0,False
778416,28630.0,28630.0,28630.0,False
778412,12041.0,12041.0,12041.0,False
778414,9502.0,9502.0,9502.0,False
778410,30138.0,30138.0,30138.0,False
778411,27017.0,27017.0,27017.0,False
778413,20333.0,20333.0,20333.0,False
778405,19383.0,19383.0,19383.0,False
778406,33508.0,33508.0,33508.0,False
778402,33722.0,33722.0,33722.0,False
778407,28861.0,28861.0,28861.0,False
778408,8291.0,8291.0,8291.0,False
778404,25575.0,25575.0,25575.0,False
778417,10046.0,10046.0,10046.0,False
778409,24847.0,24847.0,24847.0,False
778401,27694.0,27694.0,27694.0,False
778394,18657.0,18657.0,18657.0,False
778396,23843.0,23843.0,23843.0,False
778398,22409.0,22409.0,22409.0,False
778397,30261.0,30261.0,30261.0,False
778395,9018.0,9018.0,9018.0,False
778400,13008.0,13008.0,13008.0,False
778403,14156.0,14156.0,14156.0,False
778389,8430.0,8430.0,8430.0,False
778392,21014.0,21014.0,21014.0,False
778390,29232.0,29232.0,29232.0,False
778387,14616.0,14616.0,14616.0,False
778385,23590.0,23590.0,23590.0,False
778381,10553.0,10553.0,10553.0,False
778380,22411.0,22411.0,22411.0,False
778379,18867.0,18867.0,18867.0,False
778386,29441.0,29441.0,29441.0,False
778383,20556.0,20556.0,20556.0,False
778391,12997.0,12997.0,12997.0,False
778399,10046.0,10046.0,10046.0,False
778393,35323.0,35323.0,35323.0,False
778388,13156.0,13156.0,13156.0,False
778376,35186.0,35186.0,35186.0,False
778382,10046.0,10046.0,10046.0,False
778371,18593.0,18593.0,18593.0,False
778378,12663.0,12663.0,12663.0,False
778377,25128.0,25128.0,25128.0,False
778384,36630.0,36630.0,36630.0,False
778373,14730.0,14730.0,14730.0,False
778363,12900.0,12900.0,12900.0,False
778374,16375.0,16375.0,16375.0,False
778367,10046.0,10046.0,10046.0,False
778370,35286.0,35286.0,35286.0,False
778369,9094.0,9094.0,9094.0,False
778366,13432.0,13432.0,13432.0,False
778375,15430.0,15430.0,15430.0,False
778364,32026.0,32026.0,32026.0,False
778365,32309.0,32309.0,32309.0,False
778360,28366.0,28366.0,28366.0,False
778358,9632.0,9632.0,9632.0,False
778356,53933.0,53933.0,53933.0,False
778361,44089.0,44089.0,44089.0,False
778368,34459.0,34459.0,34459.0,False
778362,22130.0,22130.0,22130.0,False
778354,18549.0,18549.0,18549.0,False
778348,23391.0,23391.0,23391.0,False
778347,30791.0,30791.0,30791.0,False
778355,35455.0,35455.0,35455.0,False
778346,10133.0,10133.0,10133.0,False
778353,10046.0,10046.0,10046.0,False
778350,34853.0,34853.0,34853.0,False
778345,53887.0,53887.0,53887.0,False
778359,20256.0,20256.0,20256.0,False
778357,31188.0,31188.0,31188.0,False
778351,36102.0,36102.0,36102.0,False
778352,44066.0,44066.0,44066.0,False
778341,29943.0,29943.0,29943.0,False
778349,30423.0,30423.0,30423.0,False
778335,15693.0,15693.0,15693.0,False
778344,27193.0,27193.0,27193.0,False
778339,36449.0,36449.0,36449.0,False
778342,17864.0,17864.0,17864.0,False
778343,24358.0,24358.0,24358.0,False
778340,10046.0,10046.0,10046.0,False
778337,14074.0,14074.0,14074.0,False
778329,37032.0,37032.0,37032.0,False
778336,32509.0,32509.0,32509.0,False
778331,50899.0,50899.0,50899.0,False
778332,30057.0,30057.0,30057.0,False
778338,18840.0,18840.0,18840.0,False
778330,42706.0,42706.0,42706.0,False
778333,10036.0,10036.0,10036.0,False
778334,25100.0,25100.0,25100.0,False
778324,10240.0,10240.0,10240.0,False
778320,40636.0,40636.0,40636.0,False
778327,42648.0,42648.0,42648.0,False
778322,21595.0,21595.0,21595.0,False
778328,10046.0,10046.0,10046.0,False
778323,20892.0,20892.0,20892.0,False
778315,47078.0,47078.0,47078.0,False
778326,52693.0,52693.0,52693.0,False
778325,21977.0,21977.0,21977.0,False
778321,10402.0,10402.0,10402.0,False
778317,14203.0,14203.0,14203.0,False
778311,26979.0,26979.0,26979.0,False
778314,8340.0,8340.0,8340.0,False
778316,17205.0,17205.0,17205.0,False
778318,7324.0,7324.0,7324.0,False
778313,38119.0,38119.0,38119.0,False
778319,10046.0,10046.0,10046.0,False
778309,10673.0,10673.0,10673.0,False
778307,12507.0,12507.0,12507.0,False
778310,18396.0,18396.0,18396.0,False
778306,24501.0,24501.0,24501.0,False
778305,42492.0,42492.0,42492.0,False
778302,53198.0,53198.0,53198.0,False
778312,43601.0,43601.0,43601.0,False
778308,22285.0,22285.0,22285.0,False
778301,13964.0,13964.0,13964.0,False
778304,11817.0,11817.0,11817.0,False
778297,25328.0,25328.0,25328.0,False
778299,19721.0,19721.0,19721.0,False
778295,22360.0,22360.0,22360.0,False
778290,30360.0,30360.0,30360.0,False
778288,41562.0,41562.0,41562.0,False
778293,8529.0,8529.0,8529.0,False
778303,8438.0,8438.0,8438.0,False
778298,10046.0,10046.0,10046.0,False
778300,43720.0,43720.0,43720.0,False
778294,10411.0,10411.0,10411.0,False
778289,20535.0,20535.0,20535.0,False
778296,38532.0,38532.0,38532.0,False
778287,52143.0,52143.0,52143.0,False
778291,8616.0,8616.0,8616.0,False
778280,12748.0,12748.0,12748.0,False
778285,18032.0,18032.0,18032.0,False
778283,10560.0,10560.0,10560.0,False
778279,41321.0,41321.0,41321.0,False
778292,16201.0,16201.0,16201.0,False
778286,15769.0,15769.0,15769.0,False
778282,10046.0,10046.0,10046.0,False
778278,38246.0,38246.0,38246.0,False
778281,26279.0,26279.0,26279.0,False
778270,39627.0,39627.0,39627.0,False
778268,39109.0,39109.0,39109.0,False
778277,25754.0,25754.0,25754.0,False
778274,44949.0,44949.0,44949.0,False
778276,42587.0,42587.0,42587.0,False
778272,10046.0,10046.0,10046.0,False
778269,41431.0,41431.0,41431.0,False
778271,27900.0,27900.0,27900.0,False
778275,35620.0,35620.0,35620.0,False
778284,39142.0,39142.0,39142.0,False
778263,38623.0,38623.0,38623.0,False
778261,25008.0,25008.0,25008.0,False
778260,43912.0,43912.0,43912.0,False
778273,40263.0,40263.0,40263.0,False
778252,45045.0,45045.0,45045.0,False
778251,39244.0,39244.0,39244.0,False
778265,32043.0,32043.0,32043.0,False
778257,36002.0,36002.0,36002.0,False
778258,36775.0,36775.0,36775.0,False
778256,42339.0,42339.0,42339.0,False
778254,37713.0,37713.0,37713.0,False
778247,24606.0,24606.0,24606.0,False
778264,36559.0,36559.0,36559.0,False
778255,10046.0,10046.0,10046.0,False
778259,39287.0,39287.0,39287.0,False
778253,30659.0,30659.0,30659.0,False
778267,39278.0,39278.0,39278.0,False
778243,44374.0,44374.0,44374.0,False
778262,28534.0,28534.0,28534.0,False
778244,38347.0,38347.0,38347.0,False
778242,12433.0,12433.0,12433.0,False
778249,31889.0,31889.0,31889.0,False
778250,19053.0,19053.0,19053.0,False
778248,45079.0,45079.0,45079.0,False
778241,25752.0,25752.0,25752.0,False
778246,17712.0,17712.0,17712.0,False
778245,32632.0,32632.0,32632.0,False
778240,10046.0,10046.0,10046.0,False
778239,21512.0,21512.0,21512.0,False
778236,29062.0,29062.0,29062.0,False
778237,31940.0,31940.0,31940.0,False
778234,38110.0,38110.0,38110.0,False
778266,18703.0,24176.0,18703.0,True
778232,36026.0,36026.0,36026.0,False
778235,24176.0,24176.0,18703.0,True
778225,35430.0,35430.0,35430.0,False
778238,34721.0,34721.0,34721.0,False
778227,20896.0,20896.0,20896.0,False
778228,17581.0,17581.0,17581.0,False
778233,30180.0,30180.0,30180.0,False
778231,28219.0,28219.0,28219.0,False
778226,31758.0,31758.0,31758.0,False
778230,7646.0,7646.0,7646.0,False
778224,33027.0,33027.0,33027.0,False
778218,21549.0,21549.0,21549.0,False
778215,14567.0,14567.0,14567.0,False
778221,19321.0,19321.0,19321.0,False
778219,7996.0,7996.0,7996.0,False
778222,29504.0,29504.0,29504.0,False
778223,36468.0,36468.0,36468.0,False
778220,36425.0,36425.0,36425.0,False
778216,11828.0,11828.0,11828.0,False
778211,30439.0,30439.0,30439.0,False
778212,21810.0,21810.0,21810.0,False
778210,28573.0,28573.0,28573.0,False
778213,10059.0,10059.0,10059.0,False
778229,35876.0,35876.0,35876.0,False
778217,29825.0,29825.0,29825.0,False
778209,21016.0,21016.0,21016.0,False
778205,37150.0,37150.0,37150.0,False
778214,34009.0,34009.0,34009.0,False
778203,36863.0,36863.0,36863.0,False
778206,23981.0,23981.0,23981.0,False
778204,22246.0,22246.0,22246.0,False
778208,6575.0,6575.0,6575.0,False
778201,12407.0,12407.0,12407.0,False
778200,25209.0,25209.0,25209.0,False
778202,31256.0,31256.0,31256.0,False
778199,16100.0,16100.0,16100.0,False
778197,9806.0,9806.0,9806.0,False
778198,29049.0,29049.0,29049.0,False
778207,31904.0,31904.0,31904.0,False
778194,28592.0,28592.0,28592.0,False
778189,12414.0,12414.0,12414.0,False
778196,35655.0,35655.0,35655.0,False
778195,15601.0,15601.0,15601.0,True
778191,29060.0,29060.0,29060.0,False
778193,23058.0,23058.0,23058.0,False
778188,20661.0,20661.0,20661.0,False
778192,9008.0,9008.0,9008.0,False
778190,15601.0,15601.0,15601.0,True
778183,30277.0,30277.0,30277.0,False
778187,19003.0,19003.0,19003.0,False
778172,43319.0,43319.0,43319.0,False
778182,32880.0,32880.0,32880.0,False
778184,24437.0,24437.0,24437.0,False
778185,46081.0,46081.0,46081.0,False
778186,14332.0,14332.0,14332.0,False
778177,31023.0,31023.0,31023.0,False
778178,10283.0,10283.0,10283.0,False
778171,40080.0,40080.0,40080.0,False
778175,29753.0,29753.0,29753.0,False
