gamePk,date,gameDate,season,gameType,status,statusCode,home_team_id,home_team_name,home_score,home_wins,home_losses,home_pct,home_is_winner,away_team_id,away_team_name,away_score,away_wins,away_losses,away_pct,away_is_winner,venue_id,venue_name,doubleHeader,gameNumber,dayNight,description,scheduledInnings,seriesGameNumber,gamesInSeries
778563,2025-03-18,2025-03-18T10:10:00Z,2025,R,Final,F,112,Chicago Cubs,1.0,0,1,.000,False,119,Los Angeles Dodgers,4.0,1,0,1.000,True,2397,Tokyo Dome,N,1,night,"in Tokyo, Japan",9,1,2
778564,2025-03-19,2025-03-19T10:10:00Z,2025,R,Final,F,112,Chicago Cubs,3.0,0,2,.000,False,119,Los Angeles Dodgers,6.0,2,0,1.000,True,2397,Tokyo Dome,N,1,night,"in Tokyo, Japan",9,2,2
778557,2025-03-27,2025-03-27T19:05:00Z,2025,R,Final,F,147,New York Yankees,4.0,1,0,1.000,True,158,Milwaukee Brewers,2.0,0,1,.000,False,3313,Yankee Stadium,N,1,day,Yankees home opener,9,1,3
778556,2025-03-27,2025-03-27T19:07:00Z,2025,R,Final,F,141,Toronto Blue Jays,2.0,0,1,.000,False,110,Baltimore Orioles,12.0,1,0,1.000,True,14,Rogers Centre,N,1,day,Blue Jays home opener,9,1,4
778545,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,135,San Diego Padres,7.0,1,0,1.000,True,144,Atlanta Braves,4.0,0,1,.000,False,2680,Petco Park,N,1,day,Padres home opener,9,1,4
778553,2025-03-27,2025-03-27T20:05:00Z,2025,R,Final,F,140,Texas Rangers,2.0,0,1,.000,False,111,Boston Red Sox,5.0,1,0,1.000,True,5325,Globe Life Field,N,1,day,Rangers home opener,9,1,4
778555,2025-03-27,2025-03-27T20:05:00Z,2025,R,Final,F,120,Washington Nationals,3.0,0,1,.000,False,143,Philadelphia Phillies,7.0,1,0,1.000,True,3309,Nationals Park,N,1,day,Nationals home opener,9,1,3
778558,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,118,Kansas City Royals,4.0,0,1,.000,False,114,Cleveland Guardians,7.0,1,0,1.000,True,7,Kauffman Stadium,N,1,day,Royals home opener,9,1,3
778561,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,113,Cincinnati Reds,4.0,0,1,.000,False,137,San Francisco Giants,6.0,1,0,1.000,True,2602,Great American Ball Park,N,1,day,Reds Home Opener,9,1,3
778559,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,117,Houston Astros,3.0,1,0,1.000,True,121,New York Mets,1.0,0,1,.000,False,2392,Daikin Park,N,1,day,Astros home opener,9,1,3
778554,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,145,Chicago White Sox,8.0,1,0,1.000,True,108,Los Angeles Angels,1.0,0,1,.000,False,4,Rate Field,N,1,day,White Sox home opener,9,1,3
778551,2025-03-27,2025-03-27T20:15:00Z,2025,R,Final,F,138,St. Louis Cardinals,5.0,1,0,1.000,True,142,Minnesota Twins,3.0,0,1,.000,False,2889,Busch Stadium,N,1,day,Cardinals home opener,9,1,3
778546,2025-03-27,2025-03-27T23:10:00Z,2025,R,Final,F,119,Los Angeles Dodgers,5.0,3,0,1.000,True,116,Detroit Tigers,4.0,0,1,.000,False,22,Dodger Stadium,N,1,day,Dodgers home opener,9,1,3
778552,2025-03-27,2025-03-28T02:10:00Z,2025,R,Final,F,109,Arizona Diamondbacks,6.0,0,1,.000,False,112,Chicago Cubs,10.0,1,2,.333,True,15,Chase Field,N,1,night,D-backs home opener,9,1,4
778547,2025-03-27,2025-03-28T02:10:00Z,2025,R,Final,F,136,Seattle Mariners,4.0,1,0,1.000,True,133,Athletics,2.0,0,1,.000,False,680,T-Mobile Park,N,1,night,Mariners home opener,9,1,4
778562,2025-03-27,2025-03-27T20:10:00Z,2025,R,Final,F,146,Miami Marlins,5.0,1,0,1.000,True,134,Pittsburgh Pirates,4.0,0,1,.000,False,4169,loanDepot park,N,1,day,Marlins home opener,9,1,4
778549,2025-03-28,2025-03-28T23:07:00Z,2025,R,Final,F,141,Toronto Blue Jays,8.0,1,1,.500,True,110,Baltimore Orioles,2.0,1,1,.500,False,14,Rogers Centre,N,1,night,,9,2,4
778518,2025-03-28,2025-03-29T00:10:00Z,2025,R,Final,F,117,Houston Astros,1.0,1,1,.500,False,121,New York Mets,3.0,1,1,.500,True,2392,Daikin Park,N,1,night,,9,2,3
778560,2025-03-28,2025-03-28T20:10:00Z,2025,R,Final,F,139,Tampa Bay Rays,3.0,1,0,1.000,True,115,Colorado Rockies,2.0,0,1,.000,False,2523,George M. Steinbrenner Field,N,1,day,,9,1,3
778548,2025-03-28,2025-03-28T23:10:00Z,2025,R,Final,F,146,Miami Marlins,3.0,1,1,.500,False,134,Pittsburgh Pirates,4.0,1,1,.500,True,4169,loanDepot park,N,1,night,,9,2,4
778542,2025-03-28,2025-03-29T01:40:00Z,2025,R,Final,F,135,San Diego Padres,4.0,2,0,1.000,True,144,Atlanta Braves,3.0,0,2,.000,False,2680,Petco Park,N,1,night,,9,2,4
778544,2025-03-28,2025-03-29T02:10:00Z,2025,R,Final,F,119,Los Angeles Dodgers,8.0,4,0,1.000,True,116,Detroit Tigers,5.0,0,2,.000,False,22,Dodger Stadium,N,1,night,,9,2,3
778543,2025-03-28,2025-03-29T01:40:00Z,2025,R,Final,F,109,Arizona Diamondbacks,8.0,1,1,.500,True,112,Chicago Cubs,1.0,1,3,.250,False,15,Chase Field,N,1,night,,9,2,4
778541,2025-03-28,2025-03-29T01:40:00Z,2025,R,Final,F,136,Seattle Mariners,0.0,1,1,.500,False,133,Athletics,7.0,1,1,.500,True,680,T-Mobile Park,N,1,night,,9,2,4
778550,2025-03-28,2025-03-29T00:05:00Z,2025,R,Final,F,140,Texas Rangers,4.0,1,1,.500,True,111,Boston Red Sox,1.0,1,1,.500,False,5325,Globe Life Field,N,1,night,,9,2,4
778535,2025-03-29,2025-03-29T20:05:00Z,2025,R,Final,F,120,Washington Nationals,6.0,0,2,.000,False,143,Philadelphia Phillies,11.0,2,0,1.000,True,3309,Nationals Park,N,1,day,,9,2,3
778537,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,139,Tampa Bay Rays,1.0,1,1,.500,False,115,Colorado Rockies,2.0,1,1,.500,True,2523,George M. Steinbrenner Field,N,1,day,,9,2,3
778538,2025-03-29,2025-03-29T17:05:00Z,2025,R,Final,F,147,New York Yankees,20.0,2,0,1.000,True,158,Milwaukee Brewers,9.0,0,2,.000,False,3313,Yankee Stadium,N,1,day,,9,2,3
778528,2025-03-29,2025-03-29T18:15:00Z,2025,R,Final,F,138,St. Louis Cardinals,5.0,2,0,1.000,True,142,Minnesota Twins,1.0,0,2,.000,False,2889,Busch Stadium,N,1,day,,9,2,3
778536,2025-03-29,2025-03-29T19:07:00Z,2025,R,Final,F,141,Toronto Blue Jays,5.0,1,2,.333,False,110,Baltimore Orioles,9.0,2,1,.667,True,14,Rogers Centre,N,1,day,,9,3,4
778529,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,118,Kansas City Royals,4.0,1,1,.500,True,114,Cleveland Guardians,3.0,1,1,.500,False,7,Kauffman Stadium,N,1,day,,9,2,3
778534,2025-03-29,2025-03-29T18:10:00Z,2025,R,Final,F,145,Chicago White Sox,0.0,1,1,.500,False,108,Los Angeles Angels,1.0,1,1,.500,True,4,Rate Field,N,1,day,,9,2,3
778539,2025-03-29,2025-03-29T20:10:00Z,2025,R,Final,F,146,Miami Marlins,5.0,2,1,.667,True,134,Pittsburgh Pirates,4.0,1,2,.333,False,4169,loanDepot park,N,1,day,,9,3,4
778531,2025-03-29,2025-03-29T23:05:00Z,2025,R,Final,F,140,Texas Rangers,4.0,2,1,.667,True,111,Boston Red Sox,3.0,1,2,.333,False,5325,Globe Life Field,N,1,night,,9,3,4
778530,2025-03-29,2025-03-29T23:15:00Z,2025,R,Final,F,117,Houston Astros,2.0,2,1,.667,True,121,New York Mets,1.0,1,2,.333,False,2392,Daikin Park,N,1,night,,9,3,3
778520,2025-03-29,2025-03-29T23:15:00Z,2025,R,Final,F,135,San Diego Padres,1.0,3,0,1.000,True,144,Atlanta Braves,0.0,0,3,.000,False,2680,Petco Park,N,1,day,,9,3,4
778521,2025-03-29,2025-03-30T01:40:00Z,2025,R,Final,F,136,Seattle Mariners,2.0,1,2,.333,False,133,Athletics,4.0,2,1,.667,True,680,T-Mobile Park,N,1,night,,9,3,4
