gamePk,home_jersey,home_pants,home_cap,home_jersey_code,away_jersey,away_pants,away_cap,away_jersey_code
778563,Cubs Home Pinstripe Jersey,Cubs Home Pinstripe Pants,Cubs Primary Blue Hat,112_jersey_1_2025,"Dodgers Alt Road Grey ""Dodgers"" Jersey",Dodgers Road Grey Pants,Dodgers Primary Blue Hat,119_jersey_3_2025
778564,Cubs Away Grey Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_2_2025,Dodgers Home White Jersey,Dodgers Home White Pants,Dodgers Primary Blue Hat,119_jersey_1_2025
778557,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Brewers Alt Blue Jersey,Brewers Road Grey Pants,Brewers Alt Yellow Front Hat,158_jersey_4_2025
778556,Blue Jays Home White Jersey,Blue Jays Home White Pants,Blue Jays Primary All Blue Hat,141_jersey_1_2025,Orioles Alt Black Jersey,Orioles Away Grey Pants,"Orioles Alt Black Front Orange Bill ""O's"" Hat",110_jersey_3_2025
778545,Padres Home White Pinstripe Jersey,Padres Home White Pinstripe Pants,Padres Primary All Brown Hat,135_jersey_1_2025,Braves Road Grey Jersey,Braves Road Grey Pants,Braves Alt All Navy Hat,144_jersey_2_2025
778553,Rangers Home White Jersey,Rangers Home White Pants,Rangers Primary All Blue Hat,140_jersey_1_2025,Red Sox Away Grey Jersey,Red Sox Away Grey Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_2_2025
778555,Nationals Home White Jersey,Nationals Home White Pants,"Nationals Primary Red ""W"" Hat",120_jersey_1_2025,Phillies Away Grey Jersey,Phillies Away Grey Pants,Phillies Primary Red Hat,143_jersey_2_2025
778558,Royals Alt Baby Blue Jersey,Royals Alt Baby Blue Pants,Royals Alt White Front R-Crown Hat,118_jersey_3_2025,Guardians Away Grey Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_2_2025
778561,Reds Home White Jersey,Reds Home White Pants,"Reds Primary All Red ""C"" Hat",113_jersey_1_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778559,Astros Home White Jersey,Astros Home White Pants,Astros Primary All Blue Hat,117_jersey_1_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778554,White Sox Home Pinstripe Jersey,White Sox Home White Pinstripe Pants,White Sox Primary Black Hat,145_jersey_1_2025,Angels Alt Red Jersey,Angels Away Grey Pants,"Angels Primary Red ""A"" Hat",108_jersey_3_2025
778551,Cardinals Home White Jersey,Cardinals Home White Pants,Cardinals Primary Red Hat,138_jersey_1_2025,Twins Alt Navy Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_4_2025
778546,"Dodgers ""Gold Series"" Jersey","Dodgers ""Gold Series"" Pants","Dodgers ""Gold Series"" Hat",119_jersey_6_2025,Tigers Away Grey Jersey,Tigers Away Grey Pants,"Tigers Alt Navy ""Orange D"" Hat",116_jersey_2_2025
778552,Diamondbacks Home Cream Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Red Top Black Bill ""A"" Hat",109_jersey_1_2025,Cubs Alt Blue Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_3_2025
778547,Mariners Home White Jersey,Mariners Home White Pants,Mariners All Navy Hat,136_jersey_1_2025,Athletics Alt Yellow Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, Yellow Trim ""A's""",133_jersey_4_2025
778562,Marlins Home White Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_1_2025,"Pirates Alt Black ""Pittsburgh"" Jersey",Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_4_2025
778549,Blue Jays City Connect Jersey,Blue Jays City Connect Pants,Blue Jays City Connect Hat,141_jersey_5_2025,Orioles Away Grey Jersey,Orioles Away Grey Pants,"Orioles Black Front Orange Bill ""Bird"" Hat",110_jersey_2_2025
778518,Astros Alt Orange Jersey,Astros Home White Pants,Astros Primary All Blue Hat,117_jersey_3_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
